"City","Price","timestamp"
Toronto,737461,"2023-11-06 00:00:00"
Toronto,725196,"2023-11-08 00:00:00"
Toronto,714428,"2023-11-10 00:00:00"
Toronto,711997,"2023-11-12 00:00:00"
Toronto,683470,"2023-11-22 00:00:00"
Toronto,678288,"2023-11-24 00:00:00"
Toronto,677296,"2023-11-27 00:00:00"
Toronto,677552,"2023-11-28 00:00:00"
Toronto,671766,"2023-11-30 00:00:00"
Toronto,660523,"2023-12-02 00:00:00"
Toronto,651327,"2023-12-04 00:00:00"
Toronto,639697,"2023-12-06 00:00:00"
Toronto,607867,"2023-12-14 00:00:00"
Toronto,586869,"2023-12-17 00:00:00"
Toronto,586394,"2023-12-18 00:00:00"
Toronto,578115,"2023-12-20 00:00:00"
Toronto,569898,"2023-12-22 00:00:00"
Toronto,558077,"2023-12-24 00:00:00"
Toronto,557688,"2023-12-26 00:00:00"
Toronto,555242,"2023-12-28 00:00:00"
Toronto,553898,"2023-12-30 00:00:00"
Toronto,536243,"2024-01-02 00:00:00"
Toronto,530089,"2024-01-04 00:00:00"
Toronto,521300,"2024-01-06 00:00:00"
Toronto,511813,"2024-01-08 00:00:00"
Toronto,500298,"2024-01-10 00:00:00"
Toronto,499316,"2024-01-12 00:00:00"
Toronto,489691,"2024-01-14 00:00:00"
Toronto,488354,"2024-01-16 00:00:00"
Toronto,499010,"2024-01-18 00:00:00"
Toronto,489522,"2024-01-21 00:00:00"
Toronto,499337,"2024-01-24 00:00:00"
Toronto,499516,"2024-01-26 00:00:00"
Toronto,501260,"2024-01-28 00:00:00"
Toronto,507820,"2024-01-30 00:00:00"
Toronto,516193,"2024-02-02 00:00:00"
Toronto,516371,"2024-02-04 00:00:00"
Toronto,514181,"2024-02-06 00:00:00"
Toronto,515451,"2024-02-08 00:00:00"
Toronto,517965,"2024-02-10 00:00:00"
Toronto,509502,"2024-02-12 00:00:00"
Toronto,521912,"2024-02-14 00:00:00"
Toronto,523623,"2024-02-16 00:00:00"
Toronto,517725,"2024-02-18 00:00:00"
Toronto,525318,"2024-02-20 00:00:00"
Toronto,532188,"2024-02-22 00:00:00"
Toronto,530976,"2024-02-24 00:00:00"
Toronto,534207,"2024-02-26 00:00:00"
Toronto,533462,"2024-02-28 00:00:00"
Toronto,538640,"2024-03-02 00:00:00"
Toronto,534612,"2024-03-04 00:00:00"
Toronto,530973,"2024-03-06 00:00:00"
Toronto,529408,"2024-03-08 00:00:00"
Toronto,524507,"2024-03-10 00:00:00"
Toronto,525813,"2024-03-12 00:00:00"
Toronto,533628,"2024-03-15 00:00:00"
Toronto,528014,"2024-03-16 00:00:00"
Toronto,527404,"2024-03-18 00:00:00"
Toronto,544604,"2024-03-20 00:00:00"
Toronto,554450,"2024-03-22 00:00:00"
Toronto,553764,"2024-03-24 00:00:00"
Toronto,561959,"2024-03-26 00:00:00"
Toronto,569486,"2024-03-28 00:00:00"
Toronto,567438,"2024-03-31 00:00:00"
Toronto,578671,"2024-04-03 00:00:00"
Toronto,601820,"2024-04-04 00:00:00"
Toronto,588048,"2024-04-06 00:00:00"
Toronto,584787,"2024-04-08 00:00:00"
Toronto,595856,"2024-04-10 00:00:00"
Toronto,602993,"2024-04-12 00:00:00"
Toronto,597403,"2024-04-14 00:00:00"
Toronto,946338,"2024-04-16 00:00:00"
Toronto,616325,"2024-04-18 00:00:00"
Toronto,616179,"2024-04-20 00:00:00"
