Id,Beds,Baths,ListingType,Area,PopulationLatest,Schools,Colleges,Universities,Ameneties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAverage
M73000004-26155053,4,3,Multi-Family,2899,12268,3,1,0,15,21,Kincardine,750000.0,813475.0,B
M73000004-26155070,2,2,Rental,1250,422324,6,0,0,73,24,London,2200.0,691690.0,B
M73000004-26155165,4,3,Rental,2016,24862,0,0,0,0,0,Wasaga Beach,3000.0,619205.0,B
M73000004-26155296,2,2,Condo,1325,143740,4,0,0,26,19,Guelph,719000.0,640614.0,A
M73000004-26155305,3,3,Rental,1869,24862,2,0,0,1,19,Wasaga Beach,2700.0,619205.0,B
M73000004-26155316,4,2,Single Family,2103,256885,9,0,0,40,25,Kitchener,1051261.0,437374.0,A
M73000004-26155472,7,6,Multi-Family,4392,33232,2,0,0,32,41,Stratford,1799900.0,766153.0,A
M73000004-26155474,3,4,Condo,1650,138479,9,0,0,42,32,Cambridge,679000.0,601135.0,A
M73000004-26155484,3,3,Single Family,1670,422324,22,0,0,59,54,London,749900.0,691690.0,A
M73000004-26155492,5,3,Single Family,2268,24862,0,0,0,0,0,Wasaga Beach,1350000.0,619205.0,A
M73000004-26155504,5,5,Single Family,2971,186948,8,0,0,91,30,Burlington,3695000.0,1085058.0,A
M73000004-26155506,3,3,Rental,1320,11059,0,0,0,0,0,Hamilton,2999.0,543702.0,B
M73000004-26155507,3,4,Single Family,1464,11059,15,0,0,69,34,Hamilton,749900.0,543702.0,A
M73000004-26155551,2,1,Rental,874,136803,40,0,1,194,50,St. Catharines,2200.0,648367.0,B
M73000004-26155580,4,2,Single Family,1645,422324,8,0,0,7,23,London,649000.0,691690.0,B
M73000004-26155601,4,4,Condo/Townhome,1737,422324,58,1,1,221,87,London,589900.0,691690.0,B
M73000004-26155617,5,4,Single Family,1559,104688,29,1,0,57,38,Brantford,739900.0,615780.0,A
M73000004-26155623,6,4,Single Family,1883,143740,6,0,1,60,31,Guelph,1137500.0,640614.0,A
M73000004-26155642,2,2,Condo,1615,213759,6,1,0,43,29,Oakville,1499000.0,953919.0,A
